Stock name,Last candle date,Candle pattern detected,Explanation,Suggestion,Plot
TXN,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\TXN_CDLCLOSINGMARUBOZU_2024-06-12.png
QCOM,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\QCOM_CDLCLOSINGMARUBOZU_2024-06-12.png
QCOM,2024-06-12,CDLENGULFING,Engulfing: Strong reversal pattern.,Watch closely,Results\2024-06-12\QCOM_CDLENGULFING_2024-06-12.png
ACN,2024-06-12,CDLDOJI,Doji: Indicates indecision.,Watch closely,Results\2024-06-12\ACN_CDLDOJI_2024-06-12.png
ACN,2024-06-12,CDLHIGHWAVE,High-Wave: Indicates indecision.,Watch closely,Results\2024-06-12\ACN_CDLHIGHWAVE_2024-06-12.png
ACN,2024-06-12,CDLHIKKAKE,Hikkake: Continuation pattern.,Hold stock,Results\2024-06-12\ACN_CDLHIKKAKE_2024-06-12.png
ACN,2024-06-12,CDLLONGLEGGEDDOJI,Long Legged Doji: Indicates indecision.,Watch closely,Results\2024-06-12\ACN_CDLLONGLEGGEDDOJI_2024-06-12.png
ACN,2024-06-12,CDLRICKSHAWMAN,Rickshaw Man: Indicates indecision.,Watch closely,Results\2024-06-12\ACN_CDLRICKSHAWMAN_2024-06-12.png
ACN,2024-06-12,CDLSPINNINGTOP,Spinning Top: Indicates indecision.,Watch closely,Results\2024-06-12\ACN_CDLSPINNINGTOP_2024-06-12.png
PM,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\PM_CDLCLOSINGMARUBOZU_2024-06-12.png
PM,2024-06-12,CDLHIKKAKE,Hikkake: Continuation pattern.,Hold stock,Results\2024-06-12\PM_CDLHIKKAKE_2024-06-12.png
PM,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\PM_CDLLONGLINE_2024-06-12.png
UPS,2024-06-12,CDLDOJI,Doji: Indicates indecision.,Watch closely,Results\2024-06-12\UPS_CDLDOJI_2024-06-12.png
UPS,2024-06-12,CDLHIGHWAVE,High-Wave: Indicates indecision.,Watch closely,Results\2024-06-12\UPS_CDLHIGHWAVE_2024-06-12.png
UPS,2024-06-12,CDLLONGLEGGEDDOJI,Long Legged Doji: Indicates indecision.,Watch closely,Results\2024-06-12\UPS_CDLLONGLEGGEDDOJI_2024-06-12.png
UPS,2024-06-12,CDLRICKSHAWMAN,Rickshaw Man: Indicates indecision.,Watch closely,Results\2024-06-12\UPS_CDLRICKSHAWMAN_2024-06-12.png
UPS,2024-06-12,CDLSPINNINGTOP,Spinning Top: Indicates indecision.,Watch closely,Results\2024-06-12\UPS_CDLSPINNINGTOP_2024-06-12.png
MS,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\MS_CDLSHORTLINE_2024-06-12.png
MS,2024-06-12,CDLTHRUSTING,Thrusting Pattern: Continuation.,Hold stock,Results\2024-06-12\MS_CDLTHRUSTING_2024-06-12.png
GS,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\GS_CDLCLOSINGMARUBOZU_2024-06-12.png
GS,2024-06-12,CDLPIERCING,Piercing: Bullish reversal.,Buy stock,Results\2024-06-12\GS_CDLPIERCING_2024-06-12.png
BA,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\BA_CDLSHORTLINE_2024-06-12.png
CAT,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\CAT_CDLLONGLINE_2024-06-12.png
MMM,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\MMM_CDLCLOSINGMARUBOZU_2024-06-12.png
MMM,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\MMM_CDLLONGLINE_2024-06-12.png
GILD,2024-06-12,CDLBELTHOLD,Belt-hold: Trend reversal pattern.,Watch closely,Results\2024-06-12\GILD_CDLBELTHOLD_2024-06-12.png
GILD,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\GILD_CDLCLOSINGMARUBOZU_2024-06-12.png
GILD,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\GILD_CDLLONGLINE_2024-06-12.png
GILD,2024-06-12,CDLMARUBOZU,Marubozu: Strong continuation.,Hold stock,Results\2024-06-12\GILD_CDLMARUBOZU_2024-06-12.png
USB,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\USB_CDLSHORTLINE_2024-06-12.png
SCHW,2024-06-12,CDLHIKKAKE,Hikkake: Continuation pattern.,Hold stock,Results\2024-06-12\SCHW_CDLHIKKAKE_2024-06-12.png
SCHW,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\SCHW_CDLSHORTLINE_2024-06-12.png
AXP,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\AXP_CDLCLOSINGMARUBOZU_2024-06-12.png
AXP,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\AXP_CDLLONGLINE_2024-06-12.png
BMY,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\BMY_CDLSHORTLINE_2024-06-12.png
SPGI,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\SPGI_CDLCLOSINGMARUBOZU_2024-06-12.png
SPGI,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\SPGI_CDLLONGLINE_2024-06-12.png
TGT,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\TGT_CDLCLOSINGMARUBOZU_2024-06-12.png
TGT,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\TGT_CDLLONGLINE_2024-06-12.png
LMT,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\LMT_CDLCLOSINGMARUBOZU_2024-06-12.png
LMT,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\LMT_CDLLONGLINE_2024-06-12.png
CB,2024-06-12,CDLBELTHOLD,Belt-hold: Trend reversal pattern.,Watch closely,Results\2024-06-12\CB_CDLBELTHOLD_2024-06-12.png
CB,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\CB_CDLCLOSINGMARUBOZU_2024-06-12.png
CB,2024-06-12,CDLENGULFING,Engulfing: Strong reversal pattern.,Watch closely,Results\2024-06-12\CB_CDLENGULFING_2024-06-12.png
CB,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\CB_CDLLONGLINE_2024-06-12.png
CB,2024-06-12,CDLMARUBOZU,Marubozu: Strong continuation.,Hold stock,Results\2024-06-12\CB_CDLMARUBOZU_2024-06-12.png
AMT,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\AMT_CDLLONGLINE_2024-06-12.png
DUK,2024-06-12,CDLBELTHOLD,Belt-hold: Trend reversal pattern.,Watch closely,Results\2024-06-12\DUK_CDLBELTHOLD_2024-06-12.png
DUK,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\DUK_CDLCLOSINGMARUBOZU_2024-06-12.png
DUK,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\DUK_CDLLONGLINE_2024-06-12.png
DUK,2024-06-12,CDLMARUBOZU,Marubozu: Strong continuation.,Hold stock,Results\2024-06-12\DUK_CDLMARUBOZU_2024-06-12.png
ISRG,2024-06-12,CDLBELTHOLD,Belt-hold: Trend reversal pattern.,Watch closely,Results\2024-06-12\ISRG_CDLBELTHOLD_2024-06-12.png
ISRG,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\ISRG_CDLCLOSINGMARUBOZU_2024-06-12.png
ISRG,2024-06-12,CDLHIKKAKE,Hikkake: Continuation pattern.,Hold stock,Results\2024-06-12\ISRG_CDLHIKKAKE_2024-06-12.png
ISRG,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\ISRG_CDLLONGLINE_2024-06-12.png
ISRG,2024-06-12,CDLMARUBOZU,Marubozu: Strong continuation.,Hold stock,Results\2024-06-12\ISRG_CDLMARUBOZU_2024-06-12.png
GE,2024-06-12,CDLBELTHOLD,Belt-hold: Trend reversal pattern.,Watch closely,Results\2024-06-12\GE_CDLBELTHOLD_2024-06-12.png
GE,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\GE_CDLCLOSINGMARUBOZU_2024-06-12.png
GE,2024-06-12,CDLENGULFING,Engulfing: Strong reversal pattern.,Watch closely,Results\2024-06-12\GE_CDLENGULFING_2024-06-12.png
GE,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\GE_CDLLONGLINE_2024-06-12.png
GE,2024-06-12,CDLMARUBOZU,Marubozu: Strong continuation.,Hold stock,Results\2024-06-12\GE_CDLMARUBOZU_2024-06-12.png
ZTS,2024-06-12,CDLENGULFING,Engulfing: Strong reversal pattern.,Watch closely,Results\2024-06-12\ZTS_CDLENGULFING_2024-06-12.png
ZTS,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\ZTS_CDLSHORTLINE_2024-06-12.png
SBUX,2024-06-12,CDLDOJI,Doji: Indicates indecision.,Watch closely,Results\2024-06-12\SBUX_CDLDOJI_2024-06-12.png
SBUX,2024-06-12,CDLLONGLEGGEDDOJI,Long Legged Doji: Indicates indecision.,Watch closely,Results\2024-06-12\SBUX_CDLLONGLEGGEDDOJI_2024-06-12.png
SBUX,2024-06-12,CDLRICKSHAWMAN,Rickshaw Man: Indicates indecision.,Watch closely,Results\2024-06-12\SBUX_CDLRICKSHAWMAN_2024-06-12.png
SBUX,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\SBUX_CDLSHORTLINE_2024-06-12.png
SBUX,2024-06-12,CDLSPINNINGTOP,Spinning Top: Indicates indecision.,Watch closely,Results\2024-06-12\SBUX_CDLSPINNINGTOP_2024-06-12.png
ADP,2024-06-12,CDLENGULFING,Engulfing: Strong reversal pattern.,Watch closely,Results\2024-06-12\ADP_CDLENGULFING_2024-06-12.png
PLD,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\PLD_CDLSHORTLINE_2024-06-12.png
MDLZ,2024-06-12,CDLDOJI,Doji: Indicates indecision.,Watch closely,Results\2024-06-12\MDLZ_CDLDOJI_2024-06-12.png
MDLZ,2024-06-12,CDLHIGHWAVE,High-Wave: Indicates indecision.,Watch closely,Results\2024-06-12\MDLZ_CDLHIGHWAVE_2024-06-12.png
MDLZ,2024-06-12,CDLLONGLEGGEDDOJI,Long Legged Doji: Indicates indecision.,Watch closely,Results\2024-06-12\MDLZ_CDLLONGLEGGEDDOJI_2024-06-12.png
MDLZ,2024-06-12,CDLRICKSHAWMAN,Rickshaw Man: Indicates indecision.,Watch closely,Results\2024-06-12\MDLZ_CDLRICKSHAWMAN_2024-06-12.png
MDLZ,2024-06-12,CDLSPINNINGTOP,Spinning Top: Indicates indecision.,Watch closely,Results\2024-06-12\MDLZ_CDLSPINNINGTOP_2024-06-12.png
SYK,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\SYK_CDLLONGLINE_2024-06-12.png
MO,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\MO_CDLSHORTLINE_2024-06-12.png
BKNG,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\BKNG_CDLSHORTLINE_2024-06-12.png
DE,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\DE_CDLCLOSINGMARUBOZU_2024-06-12.png
DE,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\DE_CDLLONGLINE_2024-06-12.png
BDX,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\BDX_CDLCLOSINGMARUBOZU_2024-06-12.png
BDX,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\BDX_CDLLONGLINE_2024-06-12.png
